size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
4,"1,2,5,14","(1.500,0.000);(2.000,0.000);(2.000,0.500);(2.000,2.000)","0.18800,0.12500,0.25000,0.12500",161.39580882525212,1.875,0.625,2.875
4,"2,11,13,14","(2.000,0.000);(2.000,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.25000,0.12500,0.12500",161.39580882525212,1.875,1.375,2.875
4,"1,2,5,13","(1.500,0.000);(2.000,0.000);(2.000,0.500);(1.500,2.000)","0.18800,0.12500,0.25000,0.12500",161.6261198612181,1.75,0.625,2.9375
4,"1,3,6,13","(1.500,0.000);(2.500,0.000);(2.500,0.500);(1.500,2.000)","0.18800,0.18800,0.18800,0.12500",161.85612667364785,2.0,0.625,3.6875
4,"2,5,10,12","(2.000,0.000);(2.000,0.500);(1.500,1.500);(2.500,1.500)","0.12500,0.25000,0.12500,0.12500",161.975107965776,2.0,0.875,2.1875
4,"2,6,10,11","(2.000,0.000);(2.500,0.500);(1.500,1.500);(2.000,1.500)","0.12500,0.18800,0.12500,0.25000",161.975107965776,2.0,0.875,2.1875
4,"3,5,10,11","(2.500,0.000);(2.000,0.500);(1.500,1.500);(2.000,1.500)","0.18800,0.25000,0.12500,0.25000",161.975107965776,2.0,0.875,2.1875
4,"3,7,9,10","(2.500,0.000);(1.500,1.000);(2.500,1.000);(1.500,1.500)","0.18800,0.18800,0.12500,0.12500",161.975107965776,2.0,0.875,2.1875
4,"4,5,11,15","(1.500,0.500);(2.000,0.500);(2.000,1.500);(2.500,2.000)","0.12500,0.25000,0.25000,0.18800",161.975107965776,2.0,1.125,2.1875
4,"4,5,12,14","(1.500,0.500);(2.000,0.500);(2.500,1.500);(2.000,2.000)","0.12500,0.25000,0.12500,0.12500",161.975107965776,2.0,1.125,2.1875
4,"4,6,11,14","(1.500,0.500);(2.500,0.500);(2.000,1.500);(2.000,2.000)","0.12500,0.18800,0.25000,0.12500",161.975107965776,2.0,1.125,2.1875
4,"4,7,9,15","(1.500,0.500);(1.500,1.000);(2.500,1.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.18800",161.975107965776,2.0,1.125,2.1875
4,"5,8,13,15","(2.000,0.500);(2.000,1.000);(1.500,2.000);(2.500,2.000)","0.25000,0.12500,0.12500,0.18800",161.975107965776,2.0,1.375,2.1875
4,"5,9,13,14","(2.000,0.500);(2.500,1.000);(1.500,2.000);(2.000,2.000)","0.25000,0.12500,0.12500,0.12500",161.975107965776,2.0,1.375,2.1875
4,"6,10,12,13","(2.500,0.500);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500",161.975107965776,2.0,1.375,2.1875
4,"6,8,13,14","(2.500,0.500);(2.000,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500",161.975107965776,2.0,1.375,2.1875
4,"2,6,7,12","(2.000,0.000);(2.500,0.500);(1.500,1.000);(2.500,1.500)","0.12500,0.18800,0.18800,0.12500",161.98478937063257,2.125,0.75,1.9375
4,"6,7,12,14","(2.500,0.500);(1.500,1.000);(2.500,1.500);(2.000,2.000)","0.18800,0.18800,0.12500,0.12500",161.98478937063257,2.125,1.25,1.9375
4,"5,8,9,11","(2.000,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500)","0.25000,0.12500,0.12500,0.25000",161.9883712007237,2.125,1.0,0.6875
4,"2,3,9,11","(2.000,0.000);(2.500,0.000);(2.500,1.000);(2.000,1.500)","0.12500,0.18800,0.12500,0.25000",162.74858518348856,2.25,0.625,1.9375
4,"5,9,14,15","(2.000,0.500);(2.500,1.000);(2.000,2.000);(2.500,2.000)","0.25000,0.12500,0.12500,0.18800",162.74858518348856,2.25,1.375,1.9375
4,"6,8,14,15","(2.500,0.500);(2.000,1.000);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.18800",162.74858518348856,2.25,1.375,1.9375
4,"1,2,4,12","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.500,1.500)","0.18800,0.12500,0.12500,0.12500",162.98933873571733,1.875,0.5,2.1875
4,"1,6,9,13","(1.500,0.000);(2.500,0.500);(2.500,1.000);(1.500,2.000)","0.18800,0.18800,0.12500,0.12500",163.0163203733633,2.0,0.875,3.1875
4,"3,4,9,13","(2.500,0.000);(1.500,0.500);(2.500,1.000);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500",163.0163203733633,2.0,0.875,3.1875
4,"3,6,7,13","(2.500,0.000);(2.500,0.500);(1.500,1.000);(1.500,2.000)","0.18800,0.18800,0.18800,0.12500",163.0163203733633,2.0,0.875,3.1875
4,"3,8,10,11","(2.500,0.000);(2.000,1.000);(1.500,1.500);(2.000,1.500)","0.18800,0.12500,0.12500,0.25000",163.37269325681217,2.0,1.0,2.0
4,"4,5,8,15","(1.500,0.500);(2.000,0.500);(2.000,1.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.18800",163.37269325681217,2.0,1.0,2.0
4,"4,6,10,12","(1.500,0.500);(2.500,0.500);(1.500,1.500);(2.500,1.500)","0.12500,0.18800,0.12500,0.12500",163.37269325681217,2.0,1.0,2.0
4,"5,11,13,15","(2.000,0.500);(2.000,1.500);(1.500,2.000);(2.500,2.000)","0.25000,0.25000,0.12500,0.18800",163.37269325681217,2.0,1.5,2.0
4,"5,12,13,14","(2.000,0.500);(2.500,1.500);(1.500,2.000);(2.000,2.000)","0.25000,0.12500,0.12500,0.12500",163.37269325681217,2.0,1.5,2.0
