size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
5,"1,7,8,13,15","(1.500,0.000);(1.500,1.000);(2.000,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",277.06516586179873,1.8,1.2,3.6000000000000005
5,"1,7,9,13,14","(1.500,0.000);(1.500,1.000);(2.500,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.18800,0.12500,0.12500,0.12500",277.06516586179873,1.8,1.2,3.6000000000000005
5,"1,2,10,12,13","(1.500,0.000);(2.000,0.000);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",277.6885272650626,1.8,1.0,4.3
5,"1,2,8,13,14","(1.500,0.000);(2.000,0.000);(2.000,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",277.6885272650626,1.8,1.0,4.3
5,"1,3,10,11,13","(1.500,0.000);(2.500,0.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.18800,0.18800,0.12500,0.25000,0.12500",277.6885272650626,1.8,1.0,4.3
5,"1,4,5,13,15","(1.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,2.000);(2.500,2.000)","0.18800,0.12500,0.25000,0.12500,0.18800",277.6885272650626,1.8,1.0,4.3
5,"1,4,6,13,14","(1.500,0.000);(1.500,0.500);(2.500,0.500);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500",277.6885272650626,1.8,1.0,4.3
5,"1,2,12,14,15","(1.500,0.000);(2.000,0.000);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",277.6927776972503,2.1,1.1,4.9
5,"1,2,6,14,15","(1.500,0.000);(2.000,0.000);(2.500,0.500);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",277.6927776972503,2.1,0.9,4.9
5,"1,3,5,14,15","(1.500,0.000);(2.500,0.000);(2.000,0.500);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.25000,0.12500,0.18800",277.6927776972503,2.1,0.9,4.9
5,"2,3,10,14,15","(2.000,0.000);(2.500,0.000);(1.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.18800",277.6927776972503,2.1,1.1,4.9
5,"2,3,4,14,15","(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.18800",277.6927776972503,2.1,0.9,4.9
5,"1,4,8,11,15","(1.500,0.000);(1.500,0.500);(2.000,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.25000,0.18800",278.52769434135786,1.9,1.0,3.2
5,"1,5,8,10,15","(1.500,0.000);(2.000,0.500);(2.000,1.000);(1.500,1.500);(2.500,2.000)","0.18800,0.25000,0.12500,0.12500,0.18800",278.52769434135786,1.9,1.0,3.2
5,"1,4,10,12,13","(1.500,0.000);(1.500,0.500);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",278.60407823220294,1.7,1.1,3.5
5,"1,4,8,13,14","(1.500,0.000);(1.500,0.500);(2.000,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",278.60407823220294,1.7,1.1,3.5
5,"1,5,7,13,14","(1.500,0.000);(2.000,0.500);(1.500,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.25000,0.18800,0.12500,0.12500",278.60407823220294,1.7,1.1,3.5
5,"1,4,7,11,12","(1.500,0.000);(1.500,0.500);(1.500,1.000);(2.000,1.500);(2.500,1.500)","0.18800,0.12500,0.18800,0.25000,0.12500",278.77763009265004,1.8,0.9,2.5
5,"1,2,6,12,15","(1.500,0.000);(2.000,0.000);(2.500,0.500);(2.500,1.500);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",278.94009395060533,2.2,0.8,4.1
5,"1,6,12,14,15","(1.500,0.000);(2.500,0.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",278.94009395060533,2.2,1.2,4.1
5,"1,2,3,10,15","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,1.500);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",279.37537523595813,2.0,0.7,4.8
5,"3,4,13,14,15","(2.500,0.000);(1.500,0.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",279.37537523595813,2.0,1.3,4.8
5,"2,3,13,14,15","(2.000,0.000);(2.500,0.000);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.18800",279.5896595967139,2.1,1.2,5.5
5,"1,2,8,11,15","(1.500,0.000);(2.000,0.000);(2.000,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.25000,0.18800",279.969565670179,2.0,0.9,3.7
5,"1,5,8,14,15","(1.500,0.000);(2.000,0.500);(2.000,1.000);(2.000,2.000);(2.500,2.000)","0.18800,0.25000,0.12500,0.12500,0.18800",279.96956567017907,2.0,1.1,3.7
5,"1,6,10,12,14","(1.500,0.000);(2.500,0.500);(1.500,1.500);(2.500,1.500);(2.000,2.000)","0.18800,0.18800,0.12500,0.12500,0.12500",279.96956567017907,2.0,1.1,3.7
5,"1,3,4,6,15","(1.500,0.000);(2.500,0.000);(1.500,0.500);(2.500,0.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.18800,0.18800",280.05066948539053,2.1,0.6,3.8999999999999995
5,"1,3,4,9,15","(1.500,0.000);(2.500,0.000);(1.500,0.500);(2.500,1.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",280.1818574446438,2.1,0.7,4.0
