size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
7,"2,4,5,9,11,12,13","(2.000,0.000);(1.500,0.500);(2.000,0.500);(2.500,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.12500,0.25000,0.12500,0.12500",231.5898671838237,2.0,1.0,4.0
7,"2,5,6,7,11,12,13","(2.000,0.000);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.18800,0.25000,0.12500,0.12500",231.5898671838237,2.0,1.0,4.0
7,"2,5,6,9,10,11,13","(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.500,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500,0.12500,0.25000,0.12500",231.5898671838237,2.0,1.0,4.0
7,"1,5,6,8,11,12,13","(1.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.25000,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"1,6,7,8,9,12,13","(1.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.18800,0.18800,0.12500,0.12500,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"2,4,6,8,11,12,13","(2.000,0.000);(1.500,0.500);(2.500,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.18800,0.12500,0.25000,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"2,5,6,8,10,12,13","(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500,0.12500,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"3,4,5,8,11,12,13","(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.25000,0.12500,0.25000,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"3,4,7,8,9,12,13","(2.500,0.000);(1.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"3,5,6,8,10,11,13","(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.12500,0.25000,0.12500",231.58986718382374,2.0,1.0,4.0
7,"3,6,7,8,9,10,13","(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.18800,0.18800,0.18800,0.12500,0.12500,0.12500,0.12500",231.58986718382374,2.0,1.0,4.0
7,"7,10,11,12,13,14,15","(1.500,1.000);(1.500,1.500);(2.000,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.25000,0.12500,0.12500,0.12500,0.18800",231.63201009821663,1.9285714285714286,1.6428571428571428,2.0714285714285716
7,"1,4,5,6,7,8,12","(1.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.500)","0.18800,0.12500,0.25000,0.18800,0.18800,0.12500,0.12500",231.7183168928438,1.9285714285714286,0.7142857142857143,2.642857142857143
7,"2,7,8,10,11,13,15","(2.000,0.000);(1.500,1.000);(2.000,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.25000,0.12500,0.18800",231.9408625288315,1.8571428571428572,1.2857142857142858,3.785714285714286
7,"2,7,8,10,12,13,14","(2.000,0.000);(1.500,1.000);(2.000,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.12500",231.9408625288315,1.8571428571428572,1.2857142857142858,3.785714285714286
7,"2,7,9,10,11,13,14","(2.000,0.000);(1.500,1.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500,0.25000,0.12500,0.12500",231.9408625288315,1.8571428571428572,1.2857142857142858,3.785714285714286
7,"1,2,4,5,7,9,14","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.25000,0.18800,0.12500,0.12500",231.94086252883153,1.8571428571428572,0.7142857142857143,3.7857142857142856
7,"1,2,4,6,7,8,14","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.18800,0.18800,0.12500,0.12500",231.94086252883153,1.8571428571428572,0.7142857142857143,3.7857142857142856
7,"1,3,4,5,7,8,14","(1.500,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.000,2.000)","0.18800,0.18800,0.12500,0.25000,0.18800,0.12500,0.12500",231.94086252883153,1.8571428571428572,0.7142857142857143,3.7857142857142856
7,"1,5,7,8,9,12,13","(1.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.12500,0.12500,0.12500",231.94298823708476,1.9285714285714286,1.0,3.714285714285714
7,"1,6,7,8,9,11,13","(1.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,1.500);(1.500,2.000)","0.18800,0.18800,0.18800,0.12500,0.12500,0.25000,0.12500",231.94298823708476,1.9285714285714286,1.0,3.714285714285714
7,"2,4,5,8,11,12,13","(2.000,0.000);(1.500,0.500);(2.000,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.12500,0.25000,0.12500,0.12500",231.94298823708476,1.9285714285714286,1.0,3.714285714285714
7,"2,4,7,8,9,12,13","(2.000,0.000);(1.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.18800,0.12500,0.12500,0.12500,0.12500",231.94298823708476,1.9285714285714286,1.0,3.714285714285714
7,"2,5,6,8,10,11,13","(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500,0.12500,0.25000,0.12500",231.94298823708476,1.9285714285714286,1.0,3.714285714285714
7,"2,6,7,8,9,10,13","(2.000,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.12500,0.18800,0.18800,0.12500,0.12500,0.12500,0.12500",231.94298823708476,1.9285714285714286,1.0,3.714285714285714
7,"3,4,7,8,9,11,13","(2.500,0.000);(1.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500,0.25000,0.12500",231.94298823708476,1.9285714285714286,1.0,3.7142857142857144
7,"3,5,7,8,9,10,13","(2.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.12500,0.12500,0.12500",231.94298823708476,1.9285714285714286,1.0,3.7142857142857144
7,"1,4,6,8,9,12,13","(1.500,0.000);(1.500,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"1,5,6,7,9,12,13","(1.500,0.000);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.18800,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"2,3,7,8,9,11,13","(2.000,0.000);(2.500,0.000);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,1.500);(1.500,2.000)","0.12500,0.18800,0.18800,0.12500,0.12500,0.25000,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"2,4,5,6,11,12,13","(2.000,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.18800,0.25000,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"2,4,6,7,9,12,13","(2.000,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.18800,0.18800,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"3,4,5,7,9,12,13","(2.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.25000,0.18800,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"3,4,6,7,8,12,13","(2.500,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.18800,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
